mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,wt_mean,cosine_similarity,src
weight_test0.0,130,0.6,0.6,0.1,4.294018745422363,4.549773573875427,1.6691031455993652,1.7090703248977661,0.0013699823757633567,1.000000238418579,chunk_10
weight_test0.0,130,0.6,0.6,0.5,2.9408321380615234,4.093076527118683,1.7118557691574097,2.262023687362671,0.0013699823757633567,1.000000238418579,chunk_10
weight_test0.0,130,0.6,0.6,1.0,2.25542950630188,2.4896399974823,2.2633066177368164,3.390261173248291,0.0013699823757633567,1.000000238418579,chunk_10
weight_test0.0,130,0.6,0.6,1.5,1.525497317314148,2.50240695476532,2.0833775997161865,3.6964964866638184,0.0013699823757633567,1.000000238418579,chunk_10
weight_test0.0,130,0.6,0.8,0.1,4.6604437828063965,5.056333899497986,1.5571669340133667,1.6151342391967773,0.0013699823757633567,1.000000238418579,chunk_10
weight_test0.0,130,0.6,0.8,0.5,3.5496091842651367,4.854472279548645,1.7899421453475952,2.255012035369873,0.0013699823757633567,1.000000238418579,chunk_10
weight_test0.0,130,0.6,0.8,1.0,3.2294044494628906,5.064853847026825,2.021710157394409,3.0977795124053955,0.0013699823757633567,1.000000238418579,chunk_10
weight_test0.0,130,0.6,0.8,1.5,2.7268548011779785,3.1563698053359985,2.2909748554229736,3.972552537918091,0.0013699823757633567,1.000000238418579,chunk_10
weight_test0.0,130,0.6,1.0,0.1,5.667782306671143,6.053323447704315,1.666908621788025,1.7177791595458984,0.0013699823757633567,1.000000238418579,chunk_10
weight_test0.0,130,0.6,1.0,0.5,4.399531841278076,6.441204607486725,1.9574419260025024,2.5842339992523193,0.0013699823757633567,1.000000238418579,chunk_10
weight_test0.0,130,0.6,1.0,1.0,2.007671356201172,3.9145923256874084,2.4667117595672607,4.01027774810791,0.0013699823757633567,1.000000238418579,chunk_10
weight_test0.0,130,0.6,1.0,1.5,2.849900245666504,3.731687545776367,2.4520063400268555,4.471327304840088,0.0013699823757633567,1.000000238418579,chunk_10
weight_test0.0,130,0.8,0.6,0.1,5.553733825683594,5.6988332867622375,1.9840378761291504,2.02336049079895,0.001826643361710012,1.0000003576278687,chunk_10
weight_test0.0,130,0.8,0.6,0.5,3.6146645545959473,4.904402732849121,2.375685453414917,3.049912929534912,0.001826643361710012,1.0000003576278687,chunk_10
weight_test0.0,130,0.8,0.6,1.0,3.6986327171325684,4.7419368624687195,2.4095633029937744,3.8568344116210938,0.001826643361710012,1.0000003576278687,chunk_10
weight_test0.0,130,0.8,0.6,1.5,1.089174747467041,1.7944756150245667,2.2286980152130127,3.906256675720215,0.001826643361710012,1.0000003576278687,chunk_10
weight_test0.0,130,0.8,0.8,0.1,5.585732936859131,6.057998180389404,2.0841927528381348,2.175318717956543,0.001826643361710012,1.0000003576278687,chunk_10
weight_test0.0,130,0.8,0.8,0.5,3.3207314014434814,4.78661185503006,2.2216954231262207,2.916008234024048,0.001826643361710012,1.0000003576278687,chunk_10
weight_test0.0,130,0.8,0.8,1.0,2.9878149032592773,4.251896619796753,2.7026100158691406,4.342358589172363,0.001826643361710012,1.0000003576278687,chunk_10
weight_test0.0,130,0.8,0.8,1.5,1.9433815479278564,2.610392212867737,2.7446303367614746,5.1326775550842285,0.001826643361710012,1.0000003576278687,chunk_10
weight_test0.0,130,0.8,1.0,0.1,6.468908786773682,7.172874689102173,1.9250963926315308,1.9854260683059692,0.001826643361710012,1.0000003576278687,chunk_10
weight_test0.0,130,0.8,1.0,0.5,4.882133960723877,6.819165527820587,2.685140371322632,3.786886692047119,0.001826643361710012,1.0000003576278687,chunk_10
weight_test0.0,130,0.8,1.0,1.0,3.2007007598876953,5.471710979938507,2.887072801589966,4.900269985198975,0.001826643361710012,1.0000003576278687,chunk_10
weight_test0.0,130,0.8,1.0,1.5,3.574613332748413,5.000498056411743,3.8241074085235596,7.7161455154418945,0.001826643361710012,1.0000003576278687,chunk_10
weight_test0.0,130,0.95,0.6,0.1,6.187640190124512,6.618055045604706,2.7112033367156982,2.8345468044281006,0.002169138751924038,1.000000238418579,chunk_10
weight_test0.0,130,0.95,0.6,0.5,4.506904125213623,5.398227751255035,2.575529098510742,3.521523952484131,0.002169138751924038,1.000000238418579,chunk_10
weight_test0.0,130,0.95,0.6,1.0,2.469835042953491,3.669253170490265,3.6438770294189453,6.119030952453613,0.002169138751924038,1.000000238418579,chunk_10
weight_test0.0,130,0.95,0.6,1.5,0.8921000361442566,2.0863434076309204,2.941164016723633,5.409383773803711,0.002169138751924038,1.000000238418579,chunk_10
weight_test0.0,130,0.95,0.8,0.1,5.657840251922607,6.073177397251129,2.0892810821533203,2.2122247219085693,0.002169138751924038,1.000000238418579,chunk_10
weight_test0.0,130,0.95,0.8,0.5,4.993309020996094,6.851176619529724,2.712843656539917,3.6855709552764893,0.002169138751924038,1.000000238418579,chunk_10
weight_test0.0,130,0.95,0.8,1.0,2.6766715049743652,4.416215658187866,3.492135524749756,5.877533435821533,0.002169138751924038,1.000000238418579,chunk_10
weight_test0.0,130,0.95,0.8,1.5,2.7284185886383057,4.336220622062683,3.111393690109253,6.109035491943359,0.002169138751924038,1.000000238418579,chunk_10
weight_test0.0,130,0.95,1.0,0.1,6.611700057983398,7.780144810676575,2.0911428928375244,2.2085249423980713,0.002169138751924038,1.000000238418579,chunk_10
